alignment_condition_id,condition_index,opinion_index,attack_index,opinion_label,attack_label,target_alignment_z,achieved_alignment_z,profile_id,exposure_position_id,ae_private,ae_private_percentile_within_condition,exposure_outgoing_visibility_weight,sender_reach_percentile_within_condition,node_area,layout_x,layout_y
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0176,249656,35.0,0.93,0.1310249369826948,0.08,27.439999999999998,-0.1433944833164737,0.5906148641754193
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0393,129225,36.0,0.945,0.0655124684913474,0.065,25.67,-0.5907805618450088,0.11540966418391965
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0433,106070,36.0,0.945,0.0655124684913474,0.065,25.67,-0.24804469003063628,0.5483590044417473
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0533,364420,84.0,1.0,0.0,0.03,21.54,0.23153308047082719,0.33756790860618224
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0618,388514,52.0,0.99,0.0,0.03,21.54,-0.1851498738924359,0.4662772163656343
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0726,96044,38.0,0.98,0.0,0.03,21.54,-0.8599169903260632,-0.19463830360583403
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0219,324201,37.0,0.965,0.0,0.03,21.54,-0.7200769248289148,0.07339671900313753
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0307,225617,37.0,0.965,0.0,0.03,21.54,-0.35508262579199307,0.6533670048806731
condition_02__unilateralism_preference__headline_and_lede_misframing,2,1,0,Unilateralism_Preference,Headline_And_Lede_Misframing,-0.6,-0.5862878580693031,profile_0745,31639,0.0,0.015,1411.096550742696,1.0,136.0,0.15320712199919215,-0.06421629567665527
condition_02__unilateralism_preference__headline_and_lede_misframing,2,1,0,Unilateralism_Preference,Headline_And_Lede_Misframing,-0.6,-0.5862878580693031,profile_0775,61017,0.0,0.015,1380.514047713456,0.99,134.82,-0.2811031277258912,0.051405400399938427
condition_02__unilateralism_preference__headline_and_lede_misframing,2,1,0,Unilateralism_Preference,Headline_And_Lede_Misframing,-0.6,-0.5862878580693031,profile_0778,377169,7.0,0.03,1250.473657686172,0.98,133.64,-0.19325450500507096,0.11094509184574186
condition_02__unilateralism_preference__headline_and_lede_misframing,2,1,0,Unilateralism_Preference,Headline_And_Lede_Misframing,-0.6,-0.5862878580693031,profile_0509,363863,10.0,0.05,1242.482382717748,0.97,132.45999999999998,-0.19196392837051937,0.16337159324040046
