term,label,ontology_group,ontology_family,feature_type,degree_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,pagerank,community,community_size,degree,strength,positive_degree,negative_degree,positive_strength,negative_strength,within_community_strength,between_community_strength,participation_coefficient,bridge_ratio,within_module_zscore,same_family_strength_share,signed_balance,k_core
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,Big Five: Agreeableness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.056376696322011886,0.9487584373968379,0.027246256400821848,1,7,6,5.516869436544619,6,0,5.516869436544618,0.0,5.516869436544618,0.0,0.0,0.0,-0.04869451641618389,1.0,1.0,6
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,Big Five: Agreeableness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.05633470110608414,0.9467448075090164,0.027150923382414725,1,7,6,5.494945261827671,6,0,5.494945261827672,0.0,5.494945261827672,0.0,0.0,0.0,-0.27650630414481675,1.0,1.0,6
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,Big Five: Agreeableness,Big Five,Trait aggregate,0.18421052631578946,0.0,0.0,0.056630485607270326,0.7207399540879513,0.02931079358581377,1,7,7,5.901335627643657,7,0,5.9013356276436575,0.0,5.750578126161928,0.1507575014817295,0.049787441012400624,0.025546335777876343,2.37974783440503,0.9744536642221236,1.0,6
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,Big Five: Agreeableness,Big Five,Facet,0.21052631578947367,0.0,0.2532005689900427,0.0595249933932019,0.5341982250910352,0.029049706132171893,1,7,8,5.7701321224614155,7,1,5.606375828036554,0.16375629442486275,5.448189475598931,0.3219426468624853,0.10536325860113216,0.05579467506632264,-0.7623407487679142,0.9442053249336774,0.9432400191366822,6
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.05631805917885079,0.9456334649077884,0.027099671222035975,1,7,6,5.482897307117433,6,0,5.482897307117433,0.0,5.482897307117433,0.0,0.0,0.0,-0.40169533116400197,1.0,1.0,6
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.056345152466737616,0.9474122288144787,0.027182677451768743,1,7,6,5.502174825852602,6,0,5.502174825852602,0.0,5.502174825852602,0.0,0.0,0.0,-0.20138466667013435,1.0,1.0,6
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.06064525269850116,0.9333303217630914,0.026081684223239168,2,7,6,5.429050622355937,6,0,5.429050622355937,0.0,5.429050622355937,0.0,0.0,0.0,-0.013302306749210586,1.0,1.0,6
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,Big Five: Extraversion,Big Five,Facet,0.15789473684210525,0.0,0.0,0.0836570998939507,0.9409932596902448,0.02529058281430296,3,7,6,5.450286568561359,6,0,5.450286568561359,0.0,5.450286568561359,0.0,0.0,0.0,-0.5157237271575645,1.0,1.0,6
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Big Five: Conscientiousness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.06063898376614147,0.9308943994015801,0.02597108733048032,2,7,6,5.402533733052318,6,0,5.402533733052318,0.0,5.402533733052318,0.0,0.0,0.0,-0.22622082026651577,1.0,1.0,6
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.06064634211218478,0.9385576837887369,0.026320024464744837,2,7,6,5.486141696722082,6,0,5.486141696722082,0.0,5.486141696722082,0.0,0.0,0.0,0.44511295267139,1.0,1.0,6
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness,Big Five,Facet,0.18421052631578946,0.0,0.26458036984352773,0.0644139610569668,0.658426203418309,0.026265853598154386,2,7,7,5.478859600212525,7,0,5.478859600212525,0.0,5.304566419124525,0.17429318108800018,0.061599890592055395,0.031811945150271664,-1.0128536193083988,1.0,1.0,6
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,Big Five: Conscientiousness,Big Five,Trait aggregate,0.15789473684210525,0.0,0.0,0.06085886879143752,0.9579321534289608,0.02721707797021257,2,7,6,5.700989825022349,6,0,5.70098982502235,0.0,5.70098982502235,0.0,0.0,0.0,2.1702453234365513,1.0,1.0,6
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Big Five: Conscientiousness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.06046258662867269,0.9279892564958632,0.025842607095597617,2,7,6,5.3716332844884525,6,0,5.3716332844884525,0.0,5.3716332844884525,0.0,0.0,0.0,-0.4743373131139078,1.0,1.0,6
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness,Big Five,Facet,0.15789473684210525,0.0,0.0,0.06052299388906504,0.9232618266871301,0.025627417815740246,2,7,6,5.3200354684139715,6,0,5.320035468413971,0.0,5.320035468413971,0.0,0.0,0.0,-0.8886442166698584,1.0,1.0,6
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,Big Five: Extraversion,Big Five,Facet,0.15789473684210525,0.0,0.0,0.08384033585809361,0.9462947445261046,0.025520958140460737,3,7,6,5.50789459608493,6,0,5.50789459608493,0.0,5.50789459608493,0.0,0.0,0.0,0.0646071822899764,1.0,1.0,6
profile_cont_chronological_age,Chronological Age,Demographics: Age,Demographics,Continuous demographic,0.0,0.0,0.0,0.0,0.0,0.003931847968545217,5,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
