feature,context,estimate,std_error,t_value,p_value,n_obs,n_clusters,q_value,label,ontology_group
profile_cont_big_five_conscientiousness_self_discipline_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.675680119279871,0.4636562182850387,-1.4572868703865585,0.14820192692055656,500,100,0.34878556939062016,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness
profile_cont_big_five_extraversion_activity_level_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.5377181822900308,0.5221750871171353,1.029766060381599,0.30562912980402074,500,100,0.5676299478163206,Big Five Extraversion Activity Level %,Big Five: Extraversion
profile_cont_big_five_extraversion_assertiveness_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.768778015824437,0.5375256838556773,1.430216339263985,0.15580349971445992,500,100,0.36354149933373986,Big Five Extraversion Assertiveness %,Big Five: Extraversion
profile_cont_big_five_extraversion_excitement_seeking_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.24016385479692526,0.50784309955669,0.4729095561337168,0.6373186946046171,500,100,0.8876938960564309,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion
profile_cont_big_five_extraversion_gregariousness_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.20253733293650797,0.5247649755082779,0.3859581763061339,0.7003558127637884,500,100,0.9282744267951798,Big Five Extraversion Gregariousness %,Big Five: Extraversion
profile_cont_big_five_extraversion_mean_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.4514616328315214,0.518869491295178,0.8700870650625532,0.3863576150312463,500,100,0.6718192923791736,Big Five Extraversion Mean %,Big Five: Extraversion
profile_cont_big_five_extraversion_positive_emotions_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.4243261162573681,0.5171998676767259,0.8204296690241842,0.4139422693809571,500,100,0.6907463710985066,Big Five Extraversion Positive Emotions %,Big Five: Extraversion
profile_cont_big_five_extraversion_warmth_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.4306150509033513,0.507334953253775,0.8487785991121186,0.39805219115596363,500,100,0.6791765511598629,Big Five Extraversion Warmth %,Big Five: Extraversion
profile_cont_big_five_neuroticism_anger_hostility_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,1.0792547243680601,0.5415496388983514,1.9929008291161205,0.04902482594033018,500,100,0.16125033110494144,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_anxiety_pct,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,0.8235859526713333,0.560040134211109,1.4705838070542276,0.14457495725349423,500,100,0.34878556939062016,Big Five Neuroticism Anxiety %,Big Five: Neuroticism
