profile_a,profile_b,feature_distance,moderation_distance
profile_0019,profile_0427,9.918573659608745,93.4558719396486
profile_0019,profile_0433,10.594009532762183,77.42738533619743
profile_0019,profile_0445,9.899246311417983,141.2975583653164
profile_0019,profile_0458,9.983393563754031,107.59646834352883
profile_0019,profile_0466,10.376094793665652,68.84039511798287
profile_0019,profile_0472,10.058040805910622,112.83616441549225
profile_0019,profile_0475,7.602611228241098,86.83317338436964
profile_0019,profile_0486,9.86572025601717,88.66228059327146
profile_0019,profile_0503,9.206273955251541,87.30979326513149
profile_0019,profile_0509,6.73631736052279,86.37708029332781
profile_0019,profile_0519,7.219732046375921,64.4670458451448
profile_0019,profile_0521,9.782452795741797,77.94228634059948
profile_0019,profile_0533,8.61404790202491,91.97282207261013
profile_0019,profile_0535,7.775302669711959,102.21056696839129
profile_0019,profile_0542,8.396504913521957,95.49869109050658
profile_0019,profile_0560,7.21404426208587,95.12097560475291
profile_0019,profile_0579,7.446553190946366,142.90206436577463
profile_0019,profile_0585,6.670523238727565,88.31760866327846
profile_0019,profile_0590,5.937881137499076,82.21921916437786
profile_0019,profile_0596,5.33408787640645,68.63672486358888
profile_0019,profile_0608,9.995545582940634,125.29565036345036
profile_0019,profile_0610,7.801442780231897,74.75961476626267
profile_0019,profile_0613,9.591585824038937,108.6922260329597
profile_0019,profile_0618,8.669960887323079,83.95236744726142
profile_0019,profile_0633,8.350421183964546,96.36908217888141
profile_0019,profile_0641,7.529797485956588,110.93691901256317
profile_0019,profile_0645,9.309624727084723,118.5748708622531
profile_0019,profile_0649,9.17093007723952,89.32524839036273
profile_0019,profile_0657,9.492101049459482,101.73494974687902
profile_0019,profile_0663,5.980204439916755,153.8960688256851
profile_0019,profile_0669,11.117177876393727,76.70723564306043
profile_0019,profile_0673,8.811166471059298,68.1395626636978
profile_0019,profile_0688,6.469035315506137,74.83982896827064
profile_0019,profile_0694,9.028783132367806,90.43782394551519
profile_0019,profile_0711,6.079828858752963,91.51502608861563
profile_0019,profile_0716,10.426730747421445,66.57326790837296
profile_0019,profile_0717,8.657650366443288,104.68524251297315
profile_0019,profile_0718,7.046197010240423,101.87737727287643
profile_0019,profile_0726,8.082225916551414,138.93883546366726
profile_0019,profile_0745,9.897649180000576,99.45853407325085
profile_0019,profile_0747,9.258283275397698,103.25696102442683
profile_0019,profile_0749,7.661638764419147,93.4826187052973
profile_0019,profile_0753,6.11453896020913,130.7669683062202
profile_0019,profile_0754,8.84250386473756,77.25930364687478
profile_0019,profile_0760,9.346093209300705,76.39371701913711
profile_0019,profile_0775,10.133086517695915,103.03882763308208
profile_0019,profile_0778,5.822252814965635,99.18669265581951
profile_0019,profile_0785,11.718042608660634,117.61802582937702
profile_0019,profile_0790,8.472481993873537,74.59222479588607
profile_0019,profile_0794,8.097873271331732,130.20752666416791
profile_0019,profile_0795,6.20888974940398,81.14801291467339
profile_0052,profile_0063,9.316632650019404,132.83448347473634
profile_0052,profile_0065,10.359045080325593,97.95917517006765
profile_0052,profile_0066,5.800242813500101,119.73303637676612
